nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk,brand,product_category
Sosis Kanzler 360gr / 500gr | Beef Cheese Sausage Chicken Nugget 500,39800,Depo Susu Kelapa Gading,Jakarta Utara,9000,5.0,Kanzler,Nugget-Sausage
KANZLER Crispy Chicken Nugget Ayam 450gr,39500,Segaru Foods,Tangerang Selatan,6000,5.0,Kanzler,Nugget
Smoked Beef Kanzler 1kg,117490,Toko Kuliner,Jakarta Barat,5000,5.0,Kanzler,Other
Kanzler Chiken Nugget 450gr,38000,Mitra Segar Abadi Jakpus,Jakarta Pusat,100,5.0,Kanzler,Nugget
KANZLER Sosis Beef Cocktail Cheese Cocktail Frankfurter Cocktail 500gr,46300,Segaru Foods,Tangerang Selatan,5000,5.0,Kanzler,Sausage
Chicken Nugget Crispy Kanzler Nugget Frozen food Makanan beku 450g,40000,SinarMurni,Jakarta Pusat,6000,4.9,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Ayam 450 Gram,38500,KitaKito Foods,Tangerang Selatan,3000,5.0,Kanzler,Nugget
kanzler crispy chiken nuget 450gr,37300,AZEINN,Jakarta Selatan,10000,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450 gr,38000,Toko Kuliner,Jakarta Barat,6000,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450gr Naget Ayam Krispi,42900,Frozone Market Jakarta Timur,Jakarta Timur,8000,5.0,Kanzler,Nugget
Kanzler Chicken Cordon Bleu Smk Beef Bratwurst Kenzler Nugget Cheese,39800,Depo Susu Kelapa Gading,Jakarta Utara,1000,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget,39000,Orient Food,Surabaya,1000,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy (450 gr),40900,Hijrahfood Meatshop,Jakarta Barat,10000,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Stick | Naget Ayam Stikie Krispy (450 g),40900,Hijrahfood Meatshop,Jakarta Barat,750,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy Bubble Crumb (120 g),13500,Hijrahfood Meatshop,Jakarta Barat,1000,4.9,Kanzler,Nugget
Kanzler Chicken Cordon Bleu | Katsu Ayam Isi Keju Smoked Beef (300 gr),49900,Hijrahfood Meatshop,Jakarta Barat,1000,5.0,Kanzler,Other
Kanzler crispy chicken nugget ayam renyah 450gr,41500,Bright Frozen Food,Jakarta Pusat,10000,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450 gr,38000,Toko Kuliner Jakpus,Jakarta Pusat,100,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET 450 GR,38800,Zahra Froz,Jakarta Timur,10000,5.0,Kanzler,Nugget
KANZLER Crispy Chicken Nugget 450 gr,38700,Dilla Frozen Food,Bekasi,4000,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET 450GR,39500,Bentang Frozen,Tangerang Selatan,3000,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET 450GR,39999,Lancar FreshMart,Jakarta Utara,2000,5.0,Kanzler,Nugget
Sosis Kanzler Beef Frankfurter,27999,Orient Food,Surabaya,750,5.0,Kanzler,Sausage
Kanzler Crispy Chicken Nugget 450 gr,44290,SAJI Frozen&Snack,Jakarta Barat,250,5.0,Kanzler,Nugget
BEST SELLER KANZLER - Sosis & Chicken Nugget Frozen Ready to Cook!,35625,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,250,4.9,Kanzler,Nugget-Sausage
Kanzler Chicken Nugget Stick Crispy 450gr,42230,SAJI Frozen&Snack,Jakarta Barat,100,4.9,Kanzler,Nugget
KANZLER NUGGET CRISPY 450G HARUS INSTAN KURIR,44900,LOTTE Mart Official,Jakarta Selatan,2000,5.0,Kanzler,Nugget
Kanzler Crispy Nugget 450G,15000,HokTung Mart,Jakarta Utara,2000,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450gr | naget kanjler kenjler viral,37500,Kanzler RS Froz,Jakarta Timur,2000,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Stick 450gr,39500,Bentang Frozen,Tangerang Selatan,500,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget / Nugget Ayam / Naget Ayam Krispi 450gr,45900,Bliss Kitchen Jakarta,Jakarta Pusat,1000,5.0,Kanzler,Nugget
Chicken Nugget Kanzler Nugget Frozen food Makanan beku 450g,39000,SinarMurni,Jakarta Pusat,750,4.9,Kanzler,Nugget
CRISPY CHICKEN STICK KANZLER 450GR NAGET STIK AYAM KRISPI HALAL,38950,LatteBless,Jakarta Selatan,1000,4.9,Kanzler,Other
Kanzler Crispy Chicken Nugget 450 Gram / Kazler Promo / Halal,40000,Ohayo Bento New,Jakarta Timur,1000,5.0,Kanzler,Nugget
kanzler crispy chicken nugget,38900,Toko Nalisma,Jakarta Selatan,8000,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Stick,37300,phyphy_frozen,Jakarta Barat,100,4.9,Kanzler,Nugget
kanzler crispy chicken nugget,39000,Ratih Frozen Food,Depok,250,5.0,Kanzler,Nugget
Kanzler chicken nugget / nugget ayam premium / naget ayam kanzler,41900,Multi food jakarta,Jakarta Utara,250,5.0,Kanzler,Nugget
Best Seller Kanzler - Premium Sosis Kanzler & Crispy / Chicken Nugget,35625,Kuka Kuka Meat Shop Bekasi,Bekasi,50,5.0,Kanzler,Nugget-Sausage
Kanzler Chicken Cordon Blue isi 2pcs 300gram,45600,Kuka Kuka Meat Shop,Jakarta Utara,24,4.5,Kanzler,Other
KANZLER CRISPY CHICKEN NUGGET 450gr / 450 gr,39500,Wiralel,Tangerang,5000,5.0,Kanzler,Nugget
Chicken Nugget Kanzler Original 450Gr,40900,Frostmart,Jakarta Utara,250,5.0,Kanzler,Nugget
CHICKEN NUGGET KANZLER 450 gr,37300,phyphy_frozen,Jakarta Barat,250,5.0,Kanzler,Nugget
KANZLER Crispy Chicken Nugget Stick 450 gr,38700,Dilla Frozen Food,Bekasi,250,4.9,Kanzler,Nugget
Kanzler Beef Cocktail 250gr | Kanjler Sosis Kecil Kenzler Sapi,25100,Kanzler RS Froz,Jakarta Timur,100,4.9,Kanzler,Sausage
Kanzler Chicken Cordon Bleu 900gr Gordon Blue 6pcs,122600,HokTung Mart,Jakarta Utara,500,5.0,Kanzler,Other
Kanzler Chicken Nugget Original Premium | Naget Ayam Berbumbu (450 gr),41500,Hijrahfood Meatshop,Jakarta Barat,1000,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET 450 GR,39700,Madina Frost,Kab. Tangerang,3000,5.0,Kanzler,Nugget
Kanzler Chicken Nugget Crispy 450 gram,41000,Rahmatika Freshmart,Tangerang Selatan,2000,5.0,Kanzler,Nugget
Crispy Chicken Nugget Stick Kanzler Crispy Nugget Stik 450g,40000,SinarMurni,Jakarta Pusat,100,4.7,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET STICK 450GR,39999,Lancar FreshMart,Jakarta Utara,100,5.0,Kanzler,Nugget
kanzler crispy chicken nugget,40900,Aishakira online,Jakarta Timur,5000,5.0,Kanzler,Nugget
Kanzler nugget crispy stick 450gr,38500,Toko DFF,Jakarta Selatan,100,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450Gr,41500,Frostmart,Jakarta Utara,2000,5.0,Kanzler,Nugget
