rating,review
5,"produk sesuai, pengiriman cukup cepat"
5,"makasih tokped dan seller barang sudah sampai dengan selamat....
mantapppppp"
4,Not bad
5,"barang sesuai, cukup cepat pengirimannya"
4,"Proses cepat, pengiriman nya juga cepat, dapet promo juga, Thanks Seller 🙏🙏"
5,"di rekomendasi sama temen katanya merk yang ini enak, pas banget dapet harga promo 🤤"
5,good seller
5,Pengiriman cepat
5,30menit udah sampe gokil
5,crispy chicken nugget kanzlernya sudah diterima. tanggal expired 25 07 24. lagi promo.
5,"kanzler chicken nugget mmng enak, ayamnya berasa. harga normal aja dibeli palagi pas ada diskon. 
sering² ya kasi diskon"
5,"Proses cepat, pengiriman nya juga cepat, dapet promo juga, Thanks Seller 🙏🙏"
5,"tadinya saya kira sosis sapi, ternyata sosis ayam, karena nggak teliti lihat bungkusnya, belum dicoba, nanti mudah2an enak, karena percaya kanzler nggak mungkin buat sosi... "
5,"tadinya saya kira sosis sapi, ternyata sosis ayam, karena nggak teliti lihat bungkusnya, tapi sudah dicoba, lumayan juga, enak kok, cuma kejunya kayaknya kurang berasa, e... "
5,"saya suka sosis ini karena kecil2, enak digoreng dimasukkan dalam telur dadar, jdnya telur dadar isi sosis, enaak"
3,"KALAU BISA PACKING DI LAPISI LEBIH TEBAL, KARENA KARDUSNYA JEBOL AKIBAT BASAH"
3,"KALAU BISA PACKING DI LAPISI LEBIH TEBAL, KARENA KARDUSNYA JEBOL AKIBAT BASAH"
3,"KALAU BISA PACKING DI LAPISI LEBIH TEBAL, KARENA KARDUSNYA JEBOL AKIBAT BASAH"
5,Mantaap
5,Okelaaaah
3,Kaget baru kali ini belanja kanzler official di mintain uang parkir sama gojeknya. Bukan nya itu seharusnya udah ongkos bagian dari pengiriman ya.
5,Barang sdh diterima... sesuai deskripsi dan pengirimannya sangat cepat... tq yaa 😉
5,"Crispy & rasanya enakkk. Kl kangen nugget beli ini lagi pasti. Pengiriman on time, packaging aman."
5,"barang saya terima dgn kondisi baik, exp masih lama"
5,"barang saya terima dgn kondisi baik , exp masih lama"
5,"exp masih lama, barang saya terima dgn kondisi baik"
2,
5,good service
5,good service
5,Wow! Enak sekali kak! Krispy sekali! Dan keluarga aku sangat menyukainya
5,"Selalu oke merk ini. Respon seller bgs, cepat. Pengiriman jg cepat."
5,Kualitas produk sdh pasti oke. sering beli merk ini. Respon seller cepat. Pengiriman cepat. Packing aman.
5,
5,Rasa sosis Kanzler pasti enak
