nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk
Fiesta Crispy Bubble Nugget 500 gr,Rp43.775,SAJI Frozen&Snack,Jakarta Barat,250+ terjual,5.0
Fiesta Chicken Nugget 500gr,Rp49.900,Frozone Market Jakarta Timur,Jakarta Timur,1rb+ terjual,5.0
Fiesta Nugget ayam | Fiesta Karage ayam 500gr - Fiesta kulit,Rp28.900,Aishakira online,Jakarta Timur,4rb+ terjual,5.0
CHICKEN NUGGET FIESTA 250GR / 500GR - 250gr,Rp26.500,Raveshop123,Jakarta Barat,1rb+ terjual,5.0
Fiesta Stikie Nugget 500gr,Rp49.900,Frozone Market Jakarta Timur,Jakarta Timur,1rb+ terjual,5.0
Fiesta Crispy Bubble Nugget,Rp44.000,Prima Freshmart,Jakarta Selatan,750+ terjual,4.9
Fiesta Nugget ayam | Fiesta Karage ayam 500gr,Rp28.900,Aishakira online,Jakarta Timur,4rb+ terjual,5.0
FIESTA CRISPY BUBBLE NUGGET 500GR,Rp42.500,Lancar FreshMart,Jakarta Utara,100+ terjual,5.0
FIESTA NUGGET AYAM STIKIE 500 GR,Rp47.000,Zahra Froz,Jakarta Timur,2rb+ terjual,5.0
CHICKEN NUGGET FIESTA 250GR / 500GR,Rp26.500,Raveshop123,Jakarta Barat,1rb+ terjual,5.0
BEST SELLER KANZLER - Sosis & Chicken Nugget Frozen Ready to Cook!,Rp35.625,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,250+ terjual,4.9
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy (450 gr),Rp40.900,Hijrahfood Meatshop,Jakarta Barat,10rb+ terjual,5.0
AYAM NUGGET/FIESTA STICKIE NUGGET 500gr /AYAM GORENG/NUGGET STICKIE,Rp51.900,Multi food jakarta,Jakarta Utara,250+ terjual,5.0
Salam Chicken Nugget 500 gr,Rp20.085,SAJI Frozen&Snack,Jakarta Barat,40+ terjual,4.9
Fiesta Nugget Crispy Bubble 500gr,Rp43.700,Frostmart,Jakarta Utara,100+ terjual,5.0
Fiesta Crispy Bubble Nugget 500 gr,Rp41.600,Zahra Froz,Jakarta Timur,500+ terjual,5.0
