nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk
Sosis Kanzler 360gr / 500gr | Beef Cheese Sausage Chicken Nugget 500,Rp39.800,Depo Susu Kelapa Gading,Jakarta Utara,9rb+ terjual,5.0
KANZLER Crispy Chicken Nugget Ayam 450gr,Rp39.500,Segaru Foods,Tangerang Selatan,6rb+ terjual,5.0
Smoked Beef Kanzler 1kg,Rp117.490,Toko Kuliner,Jakarta Barat,5rb+ terjual,5.0
Kanzler Chiken Nugget 450gr,Rp38.000,Mitra Segar Abadi Jakpus,Jakarta Pusat,100+ terjual,5.0
KANZLER Sosis Beef Cocktail Cheese Cocktail Frankfurter Cocktail 500gr,Rp46.300,Segaru Foods,Tangerang Selatan,5rb+ terjual,5.0
Chicken Nugget Crispy Kanzler Nugget Frozen food Makanan beku 450g,Rp40.000,SinarMurni,Jakarta Pusat,6rb+ terjual,4.9
Kanzler Crispy Chicken Nugget Ayam 450 Gram,Rp38.500,KitaKito Foods,Tangerang Selatan,3rb+ terjual,5.0
kanzler crispy chiken nuget 450gr,Rp37.300,AZEINN,Jakarta Selatan,10rb+ terjual,5.0
Kanzler Crispy Chicken Nugget 450 gr,Rp38.000,Toko Kuliner,Jakarta Barat,6rb+ terjual,5.0
Kanzler Chiken Nugget 450gr,Rp38.000,Mitra Segar Abadi Jakpus,Jakarta Pusat,100+ terjual,5.0
Kanzler Crispy Chicken Nugget 450gr Naget Ayam Krispi,Rp42.900,Frozone Market Jakarta Timur,Jakarta Timur,8rb+ terjual,5.0
Kanzler Chicken Cordon Bleu Smk Beef Bratwurst Kenzler Nugget Cheese,Rp39.800,Depo Susu Kelapa Gading,Jakarta Utara,1rb+ terjual,5.0
Kanzler Crispy Chicken Nugget 450 gr,Rp38.000,Toko Kuliner,Jakarta Barat,6rb+ terjual,5.0
Kanzler Crispy Chicken Nugget,Rp39.000,Orient Food,Surabaya,1rb+ terjual,5.0
Kanzler Crispy Chicken Nugget Ayam 450 Gram,Rp38.500,KitaKito Foods,Tangerang Selatan,3rb+ terjual,5.0
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy (450 gr),Rp40.900,Hijrahfood Meatshop,Jakarta Barat,10rb+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick | Naget Ayam Stikie Krispy (450 g),Rp40.900,Hijrahfood Meatshop,Jakarta Barat,750+ terjual,5.0
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy Bubble Crumb (120 g),Rp13.500,Hijrahfood Meatshop,Jakarta Barat,1rb+ terjual,4.9
Kanzler Chicken Cordon Bleu | Katsu Ayam Isi Keju Smoked Beef (300 gr),Rp49.900,Hijrahfood Meatshop,Jakarta Barat,1rb+ terjual,5.0
Kanzler crispy chicken nugget ayam renyah 450gr,Rp41.500,Bright Frozen Food,Jakarta Pusat,10rb+ terjual,5.0
Kanzler Crispy Chicken Nugget 450 gr,Rp38.000,Toko Kuliner Jakpus,Jakarta Pusat,100+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET 450 GR,Rp38.800,Zahra Froz,Jakarta Timur,10rb+ terjual,5.0
KANZLER Crispy Chicken Nugget 450 gr,Rp38.700,Dilla Frozen Food,Bekasi,4rb+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET 450GR,Rp39.500,Bentang Frozen,Tangerang Selatan,3rb+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET 450GR,Rp39.999,Lancar FreshMart,Jakarta Utara,2rb+ terjual,5.0
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy (450 gr),Rp40.900,Hijrahfood Meatshop,Jakarta Barat,10rb+ terjual,5.0
Sosis Kanzler Beef Frankfurter,Rp27.999,Orient Food,Surabaya,750+ terjual,5.0
Kanzler Crispy Chicken Nugget 450 gr,Rp44.290,SAJI Frozen&Snack,Jakarta Barat,250+ terjual,5.0
BEST SELLER KANZLER - Sosis & Chicken Nugget Frozen Ready to Cook!,Rp35.625,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,250+ terjual,4.9
Kanzler Chicken Nugget Stick Crispy 450gr,Rp42.230,SAJI Frozen&Snack,Jakarta Barat,100+ terjual,4.9
KANZLER NUGGET CRISPY 450G HARUS INSTAN KURIR,Rp44.900,LOTTE Mart Official,Jakarta Selatan,2rb+ terjual,5.0
Kanzler Crispy Nugget 450G,Rp15.000,HokTung Mart,Jakarta Utara,2rb+ terjual,5.0
Kanzler Crispy Chicken Nugget 450gr | naget kanjler kenjler viral,Rp37.500,Kanzler RS Froz,Jakarta Timur,2rb+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick 450gr,Rp39.500,Bentang Frozen,Tangerang Selatan,500+ terjual,5.0
Kanzler Crispy Chicken Nugget / Nugget Ayam / Naget Ayam Krispi 450gr,Rp45.900,Bliss Kitchen Jakarta,Jakarta Pusat,1rb+ terjual,5.0
Chicken Nugget Kanzler Nugget Frozen food Makanan beku 450g,Rp39.000,SinarMurni,Jakarta Pusat,750+ terjual,4.9
CRISPY CHICKEN STICK KANZLER 450GR NAGET STIK AYAM KRISPI HALAL,Rp38.950,LatteBless,Jakarta Selatan,1rb+ terjual,4.9
Kanzler Crispy Chicken Nugget 450 Gram / Kazler Promo / Halal,Rp40.000,Ohayo Bento New,Jakarta Timur,1rb+ terjual,5.0
kanzler crispy chicken nugget,Rp38.900,Toko Nalisma,Jakarta Selatan,8rb+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick,Rp37.300,phyphy_frozen,Jakarta Barat,100+ terjual,4.9
kanzler crispy chicken nugget,Rp39.000,Ratih Frozen Food,Depok,250+ terjual,5.0
Kanzler Crispy Chicken Nugget 450 gr,Rp38.000,Toko Kuliner Jakpus,Jakarta Pusat,100+ terjual,5.0
Kanzler chicken nugget / nugget ayam premium / naget ayam kanzler,Rp41.900,Multi food jakarta,Jakarta Utara,250+ terjual,5.0
Best Seller Kanzler - Premium Sosis Kanzler & Crispy / Chicken Nugget,Rp35.625,Kuka Kuka Meat Shop Bekasi,Bekasi,50+ terjual,5.0
Kanzler Chicken Cordon Blue isi 2pcs 300gram,Rp45.600,Kuka Kuka Meat Shop,Jakarta Utara,24 terjual,4.5
KANZLER CRISPY CHICKEN NUGGET 450gr / 450 gr,Rp39.500,Wiralel,Tangerang,5rb+ terjual,5.0
Chicken Nugget Kanzler Original 450Gr,Rp40.900,Frostmart,Jakarta Utara,250+ terjual,5.0
CHICKEN NUGGET KANZLER 450 gr,Rp37.300,phyphy_frozen,Jakarta Barat,250+ terjual,5.0
KANZLER Crispy Chicken Nugget Ayam 450gr,Rp39.500,Segaru Foods,Tangerang Selatan,6rb+ terjual,5.0
KANZLER Crispy Chicken Nugget Stick 450 gr,Rp38.700,Dilla Frozen Food,Bekasi,250+ terjual,4.9
Kanzler Beef Cocktail 250gr | Kanjler Sosis Kecil Kenzler Sapi,Rp25.100,Kanzler RS Froz,Jakarta Timur,100+ terjual,4.9
Kanzler Chicken Cordon Bleu 900gr Gordon Blue 6pcs,Rp122.600,HokTung Mart,Jakarta Utara,500+ terjual,5.0
Kanzler Chicken Nugget Original Premium | Naget Ayam Berbumbu (450 gr),Rp41.500,Hijrahfood Meatshop,Jakarta Barat,1rb+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET 450 GR,Rp39.700,Madina Frost,Kab. Tangerang,3rb+ terjual,5.0
Kanzler Chicken Nugget Crispy 450 gram,Rp41.000,Rahmatika Freshmart,Tangerang Selatan,2rb+ terjual,5.0
Crispy Chicken Nugget Stick Kanzler Crispy Nugget Stik 450g,Rp40.000,SinarMurni,Jakarta Pusat,100+ terjual,4.7
KANZLER CRISPY CHICKEN NUGGET STICK 450GR,Rp39.999,Lancar FreshMart,Jakarta Utara,100+ terjual,5.0
kanzler crispy chicken nugget,Rp40.900,Aishakira online,Jakarta Timur,5rb+ terjual,5.0
Kanzler nugget crispy stick 450gr,Rp38.500,Toko DFF,Jakarta Selatan,100+ terjual,5.0
Kanzler Crispy Chicken Nugget 450Gr,Rp41.500,Frostmart,Jakarta Utara,2rb+ terjual,5.0
kanzler nuget crispy,Rp39.500,KING DURIAN84,Depok,3rb+ terjual,5.0
KANZLER Chicken Nugget Original 450gr,Rp37.500,Kanzler RS Froz,Jakarta Timur,500+ terjual,5.0
Kanzler nuget stik crispy 450gr,Rp37.900,AZEINN,Jakarta Selatan,250+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET 450 GR,Rp37.890,IstanaFurniture,Bekasi,250+ terjual,5.0
kanzler nugget premium 450gr,Rp38.500,mise frozen foods,Tangerang Selatan,40+ terjual,4.6
Kanzler Crispy Chicken Nugget 450gr,Rp42.900,Brother Meat Shop,Depok,9rb+ terjual,5.0
KANZLER Chicken Nugget 450 gr,Rp38.200,Dilla Frozen Food,Bekasi,500+ terjual,5.0
CRISPY CHICKEN NUGGET KANZLER 450GR NAGET AYAM KRISPI HALAL,Rp38.500,LatteBless,Jakarta Selatan,8rb+ terjual,4.9
Kanzler Crispy Chicken Nugget Stick Naget Ayam Krispi Bubble Crispy ,Rp41.500,lita frozen food,Jakarta Utara,100+ terjual,5.0
Kanzler Smoked Beef / Daging Sapi Asap Kanzler 250gr,Rp37.900,Bliss Kitchen Jakarta,Jakarta Pusat,1rb+ terjual,5.0
Kanzler Chicken Nugget Nuget Crispy Krispy Krispi Naget 450g,Rp15.833,deposusuofficial,Jakarta Barat,2rb+ terjual,5.0
KANZLER CHICKEN NUGGET PREMIUM ORIGINAL 450GR,Rp39.500,Bentang Frozen,Tangerang Selatan,500+ terjual,5.0
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy (450 gr),Rp39.500,Hijrahfood Meatshop Bekasi,Bekasi,1rb+ terjual,5.0
Kanzler Chicken Nugget 450gr | Nugget Ayam,Rp38.000,Toko DFF,Jakarta Selatan,500+ terjual,5.0
"Kanzler Crispy Chicken Nugget Stick 450gr, Halal",Rp43.500,Brother Meat Shop,Depok,100+ terjual,5.0
Kanzler Smoked Beef Ham Slice Round | Daging Sapi Asap (250 gr),Rp37.500,Hijrahfood Meatshop,Jakarta Barat,1rb+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET STICK 450GR,Rp39.000,Frozen Al Fatih,Jakarta Timur,100+ terjual,5.0
Kanzler Crispy Chiken Nugget 450 gr,Rp42.000,Ngehits Frozen,Jakarta Timur,80+ terjual,5.0
Chicken Nugget Kanzler/Crispy Chicken Nugget Kanzler/Chicken Nugget,Rp26.900,Kitaransa Frozen,Jakarta Timur,250+ terjual,5.0
Kanzler Crispy Chicken Nugget 120 Gram,Rp15.900,KedaiMart Official Store,Jakarta Utara,20 terjual,5.0
Kanzler Sosis Beef Cocktail 500gr,Rp52.300,Naturallyoufm,Jakarta Utara,500+ terjual,5.0
Kanzler Crispy Chicken Nugget 120gr - 1 Pack,Rp13.775,Kuka Kuka Meat Shop,Jakarta Utara,60+ terjual,5.0
Kanzler Beef Cocktail Sausage | Sosis Sapi Breakfast Original (500 gr),Rp56.900,Hijrahfood Meatshop,Jakarta Barat,2rb+ terjual,5.0
KANZLER CRISPY CKN NUGGET 450 Gr,Rp41.400,rajawalisosisbaso,Bandung,100+ terjual,5.0
sosis ayam kanzler cheese cocktail 500gr/kanzler sosis cheese cocktail,Rp46.500,Multi food jakarta,Jakarta Utara,250+ terjual,5.0
Kanzler sosis beef black pepper frankfurter 300gr / sosis sapi lada,Rp38.900,Fresh Multi,Jakarta Utara,100+ terjual,4.9
Kanzler Chicken Nugget 450 gr,Rp42.230,SAJI Frozen&Snack,Jakarta Barat,250+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET 450GR NAGET AYAM KRISPI,Rp47.000,Dmeat shop,Bekasi,50+ terjual,5.0
Kanzler chicken nugget / kanzler crispy nugget ayam Halal Mui - Crispy 450g,Rp42.900,Multi food jakarta,Jakarta Utara,750+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick 450gr ,Rp43.500,Frozone Market Jakarta Timur,Jakarta Timur,100+ terjual,5.0
Chicken Nugget Kanzler/Crispy Chicken Nugget Kanzler/Chicken Nugget,Rp26.900,Kitaransa Frozen,Jakarta Timur,250+ terjual,5.0
Kanzler Crispy Chicken Nugget 120 Gram,Rp15.900,KedaiMart Official Store,Jakarta Utara,20 terjual,5.0
kanzler nugget crispy 450gr,Rp39.000,SUNFISHFOODS,Jakarta Utara,250+ terjual,4.9
kanzler chicken nugget,Rp39.500,Aishakira online,Jakarta Timur,10rb+ terjual,5.0
Kanzler Crispy Chicken Nugget / Nugget Ayam / Naget Ayam Krispi 450gr,Rp45.900,Bliss Kitchen Jaksel,Jakarta Pusat,1rb+ terjual,5.0
Kanzler sosis beef black pepper frankfurter 300gr / sosis sapi lada,Rp38.900,Multi food jakarta,Jakarta Utara,500+ terjual,5.0
Kanzler Cheese Cocktail keju sosis 500gr,Rp37.520,Frostmart,Jakarta Utara,500+ terjual,5.0
Kanzler Smoked Beef / Daging Sapi Asap Kanzler 250gr,Rp37.900,Bliss Kitchen Jakarta,Jakarta Pusat,1rb+ terjual,5.0
Best Seller Kanzler - Premium Sosis Kanzler & Crispy / Chicken Nugget - Smoked Beef,Rp35.625,Kuka Kuka Meat Shop Bekasi,Bekasi,50+ terjual,5.0
KANZLER CHICKEN CORDON BLEU 300 GR / GORDON BLEU,Rp47.000,Racik Indonesia,Bandung,4 terjual,
Kanzler crispy chicken nugget 450 gr,Rp39.480,Rumah-Sosis,Depok,1rb+ terjual,5.0
Kanzler Crispy Chicken Nugget Premium 450gr - 1 Pack,Rp45.552,Kuka Kuka Shop,Jakarta Barat,250+ terjual,5.0
KANZLER Chicken Cordon Bleu 300gr,Rp47.500,Segaru Foods,Tangerang Selatan,250+ terjual,5.0
Kanzler Chicken Nugget Crispy 500gr,Rp39.500,Master Frozz,Kab. Tangerang,250+ terjual,5.0
Kanzler Crispy Chicken Nugget 450gr,Rp39.000,Kebab Mini Frozen Food,Jakarta Timur,3rb+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick 450gr ,Rp43.500,Frozone Market Jakarta Timur,Jakarta Timur,100+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET STICK 450gr / 450 gr,Rp39.500,Wiralel,Tangerang,27 terjual,5.0
Kanzler Crispy Chicken Nugget Stick 450 gr,Rp41.000,Rahmatika Freshmart,Tangerang Selatan,100+ terjual,5.0
kanzler naget crispy,Rp37.900,kartikafrozen,Jakarta Barat,250+ terjual,5.0
KANZLER Crispy Chicken Nugget 450gr,Rp40.500,Gozzen Frozen Food,Kab. Bogor,250+ terjual,5.0
KANZLER NUGGET CRISPY CHICKEN,Rp44.800,DAPURSEMBILAN,Denpasar,250+ terjual,5.0
Kanzler Chicken Nugget Original 450gram X 3 Bungkus,Rp116.000,Indospirits Retailindo Sunter,Jakarta Utara,20 terjual,5.0
kanzler crispy chicken nugget,Rp40.900,Aishakira online,Jakarta Timur,5rb+ terjual,5.0
KANZLER SINGLES SOSIS / BAKSO,Rp7.580,Foodies byarvie,Tangerang Selatan,250+ terjual,5.0
KANZLER Sosis / Saussage Cheese Frankfurter - 360gram,Rp49.922,Kuka Kuka Meat Shop,Jakarta Utara,40+ terjual,5.0
KANZLER CRISPY CHICKEN STICK NUGGET 450G,Rp53.900,LOTTE Mart Indonesia,Jakarta Selatan,29 terjual,5.0
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy (450 gr),Rp39.500,Hijrahfood Meatshop Jaksel,Jakarta Selatan,250+ terjual,5.0
Chicken Nugget Kanzler Nugget Crispy,Rp39.000,Gadsa Online Shop,Tangerang Selatan,3rb+ terjual,4.9
KANZLER CRISPY CHICKEN NUGGET 450GR,Rp38.500,Frozen Al Fatih,Jakarta Timur,1rb+ terjual,5.0
KANZLER CHICKEN NUGGET 450 GR,Rp38.300,Zahra Froz,Jakarta Timur,2rb+ terjual,5.0
kanzler crispy chicken nugget,Rp39.000,Ratih Frozen Food,Depok,250+ terjual,5.0
Kanzler Original Chicken Nugget Premium 450 Gram,Rp39.500,KitaKito Foods,Tangerang Selatan,500+ terjual,5.0
Kanzler Crispy Chicken Nugget 450gr Naget Ayam Krispi,Rp42.900,Frozone Market Jakarta Timur,Jakarta Timur,8rb+ terjual,5.0
Crispy Chicken Nugget Kanzler Nugget crispy kanzler Frozen food 450g,Rp40.000,SinarMurni,Jakarta Pusat,1rb+ terjual,4.9
Kanzler Crispy Chicken Nugget 450gr,Rp15.000,Naturallyoufm,Jakarta Utara,1rb+ terjual,5.0
Kanzler Crispy chicken nugget 450 Gr,Rp38.000,OryzaFrozenFood,Depok,2rb+ terjual,5.0
kanzler sosis  cheese cocktail 500gr,Rp44.000,Ara Frozen,Jakarta Timur,1 terjual,5.0
Kanzler Beef Cocktail Sausage | Sosis Sapi Breakfast Original (250 gr),Rp29.800,Hijrahfood Meatshop,Jakarta Barat,2rb+ terjual,5.0
kanzler crispy chicken nugget 450gr,Rp39.000,Ara Frozen,Jakarta Timur,30+ terjual,5.0
Kanzler Smoked Beef / Daging Sapi Asap Kanzler 250gr,Rp37.900,Bliss Kitchen Tangerang,Tangerang,100+ terjual,4.9
kanzler cordon bleu 300gr isi 2 pcs,Rp46.500,Bright Frozen Food,Jakarta Pusat,250+ terjual,5.0
kanzler crispy nugget 450gr,Rp39.900,King Fresh Mart,Jakarta Barat,250+ terjual,5.0
kanzler crispy chicken nugget krispi 450gr,Rp39.000,tokoflashsalemodernland,Tangerang,750+ terjual,5.0
kanzler chiken naget crispy bubble 450gr,Rp41.500,TOKO YENTI,Bekasi,2rb+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET 500GR,Rp41.500,Toko Sosis Menceng,Jakarta Barat,2rb+ terjual,5.0
Crispy Chicken Nugget Stick Kanzler Nugget Stick 450 Gram,Rp39.000,Gadsa Online Shop,Tangerang Selatan,50+ terjual,5.0
Kanzler Smoked Beef 250 gram,Rp41.200,,,2rb+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick 450 Gram / Kazler / Halal,Rp40.000,Ohayo Bento New,Jakarta Timur,50+ terjual,5.0
Kanzler Crispy Chicken Nugget STICK,Rp41.900,Aishakira online,Jakarta Timur,100+ terjual,5.0
Kanzler Crispy Chicken Nugget / Naget Ayam Berbumbu Krispi (450 gr),Rp39.500,Hijrahfood Meatshop Depok,Depok,250+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick Ayam 450 Gram,Rp39.500,KitaKito Foods,Tangerang Selatan,100+ terjual,5.0
Smoked Beef Kanzler 1kg,Rp117.490,Toko Kuliner Jakpus,Jakarta Pusat,250+ terjual,5.0
KANZLER Crispy Chicken Nugget 450 g,Rp39.500,Hamina Froz,Bekasi,27 terjual,5.0
KANZLER CRISPY CHICKEN STICK NUGGET 450G,Rp53.900,LOTTE Mart Bintaro,Tangerang Selatan,30+ terjual,5.0
CHICKEN NUGGET PREMIUM KANZLER 450GR NAGET AYAM HALAL,Rp38.500,LatteBless,Jakarta Selatan,3rb+ terjual,4.9
KANZLER Crispy Chicken Nugget,Rp39.480,RIESA Mart,Tangerang Selatan,2rb+ terjual,5.0
KANZLER NUGGET ORIGINAL 450G,Rp44.900,LOTTE Mart Official,Jakarta Selatan,250+ terjual,5.0
Kanzler Crispy Chicken Nugget Ayam 120 Gram,Rp12.900,KitaKito Foods,Tangerang Selatan,100+ terjual,5.0
Kanzler Chicken Nugget Stick Crispy 450gr,Rp42.230,SAJI Frozen&Snack,Jakarta Barat,100+ terjual,4.9
KANZLER CHICKEN NUGGET ORIGINAL 450GR,Rp39.999,Lancar FreshMart,Jakarta Utara,750+ terjual,5.0
KANZLER CRISPY CHICKEN STICK NUGGET 450g,Rp39.700,Madina Frost,Kab. Tangerang,100+ terjual,5.0
kanzler chicken cordon bleu 300gr,Rp42.500,AZEINN,Jakarta Selatan,250+ terjual,5.0
